generation,id,fitness,species,parent1,parent2
0,1,3.0,1,-1,-1
0,2,3.0,1,-1,-1
0,3,4.0,1,-1,-1
0,4,3.0,1,-1,-1
0,5,3.0,1,-1,-1
0,6,3.6,1,-1,-1
0,7,7.1,1,-1,-1
0,8,3.0,1,-1,-1
0,9,3.0,1,-1,-1
0,10,3.0,1,-1,-1
0,11,6.8,1,-1,-1
0,12,3.0,1,-1,-1
0,13,3.0,1,-1,-1
0,14,3.0,1,-1,-1
0,15,7.1,1,-1,-1
0,16,3.0,1,-1,-1
0,17,3.0,1,-1,-1
0,18,12.0,1,-1,-1
0,19,3.0,1,-1,-1
0,20,6.0,1,-1,-1
0,21,3.0,1,-1,-1
0,22,3.0,1,-1,-1
0,23,11.4,1,-1,-1
0,24,4.0,1,-1,-1
0,25,10.1,1,-1,-1
0,26,3.0,1,-1,-1
0,27,5.0,1,-1,-1
0,28,3.0,1,-1,-1
0,29,3.0,1,-1,-1
0,30,3.0,1,-1,-1
0,31,23.4,1,-1,-1
0,32,5.0,1,-1,-1
0,33,5.0,1,-1,-1
0,34,5.0,1,-1,-1
0,35,4.2,1,-1,-1
0,36,3.0,1,-1,-1
0,37,3.0,1,-1,-1
0,38,8.4,1,-1,-1
0,39,41.3,1,-1,-1
0,40,6.0,1,-1,-1
0,41,3.0,1,-1,-1
0,42,5.0,1,-1,-1
0,43,5.0,1,-1,-1
0,44,5.0,1,-1,-1
0,45,3.0,1,-1,-1
0,46,3.0,1,-1,-1
0,47,13.9,1,-1,-1
0,48,4.0,1,-1,-1
0,49,5.0,1,-1,-1
0,50,3.0,1,-1,-1
0,51,25.4,1,-1,-1
0,52,5.0,1,-1,-1
0,53,3.0,1,-1,-1
0,54,3.0,1,-1,-1
0,55,3.0,1,-1,-1
0,56,3.0,1,-1,-1
0,57,7.0,1,-1,-1
0,58,3.0,1,-1,-1
0,59,3.0,1,-1,-1
0,60,5.0,1,-1,-1
0,61,5.2,1,-1,-1
0,62,5.0,1,-1,-1
0,63,3.0,1,-1,-1
0,64,5.0,1,-1,-1
0,65,3.0,1,-1,-1
0,66,7.0,1,-1,-1
0,67,5.4,1,-1,-1
0,68,3.0,1,-1,-1
0,69,5.1,1,-1,-1
0,70,3.0,1,-1,-1
0,71,5.0,1,-1,-1
0,72,3.0,1,-1,-1
0,73,8.3,1,-1,-1
0,74,16.7,1,-1,-1
0,75,3.0,1,-1,-1
0,76,5.0,1,-1,-1
0,77,3.0,1,-1,-1
0,78,5.0,1,-1,-1
0,79,3.0,1,-1,-1
0,80,5.0,1,-1,-1
0,81,3.0,1,-1,-1
0,82,5.8,1,-1,-1
0,83,3.0,1,-1,-1
0,84,3.0,1,-1,-1
0,85,3.0,1,-1,-1
0,86,3.0,1,-1,-1
0,87,3.0,1,-1,-1
0,88,3.0,1,-1,-1
0,89,3.0,1,-1,-1
0,90,3.0,1,-1,-1
0,91,3.0,1,-1,-1
0,92,4.0,1,-1,-1
0,93,10.3,1,-1,-1
0,94,3.0,1,-1,-1
0,95,11.3,1,-1,-1
0,96,7.3,1,-1,-1
0,97,5.0,1,-1,-1
0,98,3.0,1,-1,-1
0,99,4.0,1,-1,-1
0,100,3.0,1,-1,-1
0,101,3.0,1,-1,-1
0,102,3.0,1,-1,-1
0,103,3.0,1,-1,-1
0,104,18.9,1,-1,-1
0,105,6.7,1,-1,-1
0,106,3.0,1,-1,-1
0,107,13.5,1,-1,-1
0,108,3.0,1,-1,-1
0,109,13.8,1,-1,-1
0,110,3.0,1,-1,-1
0,111,5.0,1,-1,-1
0,112,4.0,1,-1,-1
0,113,3.4,1,-1,-1
0,114,5.0,1,-1,-1
0,115,3.0,1,-1,-1
0,116,3.0,1,-1,-1
0,117,3.0,1,-1,-1
0,118,1000.0,1,-1,-1
0,119,5.0,1,-1,-1
0,120,5.0,1,-1,-1
0,121,3.0,1,-1,-1
0,122,3.0,1,-1,-1
0,123,41.0,1,-1,-1
0,124,3.0,1,-1,-1
0,125,3.0,1,-1,-1
0,126,3.6,1,-1,-1
0,127,3.0,1,-1,-1
0,128,3.0,1,-1,-1
0,129,3.0,1,-1,-1
0,130,3.0,1,-1,-1
0,131,3.0,1,-1,-1
0,132,16.6,1,-1,-1
0,133,3.0,1,-1,-1
0,134,28.2,1,-1,-1
0,135,3.0,1,-1,-1
0,136,5.0,1,-1,-1
0,137,3.0,1,-1,-1
0,138,3.0,1,-1,-1
0,139,15.0,1,-1,-1
0,140,3.0,1,-1,-1
0,141,5.0,1,-1,-1
0,142,3.0,1,-1,-1
0,143,3.0,1,-1,-1
0,144,5.0,1,-1,-1
0,145,4.5,1,-1,-1
0,146,4.5,1,-1,-1
0,147,3.0,1,-1,-1
0,148,3.0,1,-1,-1
0,149,3.0,1,-1,-1
0,150,3.0,1,-1,-1
